,countrySubd,locality,attomId,saleTransDate,proptype,yearbuilt,universalsize,beds,bathstotal,zipcode
217,VA,GREAT FALLS,14698341,2012-08-29,SFR,1977,2576.0,4.0,4.0,22066
218,VA,GREAT FALLS,14758254,2020-07-28,SFR,1977,1390.0,5.0,4.0,22066
219,VA,GREAT FALLS,14979840,2019-06-21,SFR,1989,3464.0,4.0,4.0,22066
220,VA,GREAT FALLS,15124782,2018-05-30,SFR,1995,3833.0,4.0,5.0,22066
221,VA,GREAT FALLS,15355922,2017-03-01,SFR,2007,6296.0,5.0,9.0,22066
222,VA,GREAT FALLS,15355923,2011-06-03,SFR,1973,3718.0,5.0,7.0,22066
223,VA,GREAT FALLS,15355924,2022-04-08,SFR,1993,3930.0,5.0,5.0,22066
224,VA,GREAT FALLS,15355927,2022-05-17,SFR,1986,6809.0,5.0,8.0,22066
225,VA,GREAT FALLS,15355928,2009-12-18,SFR,1977,2030.0,3.0,3.0,22066
226,VA,GREAT FALLS,15355929,2018-10-31,SFR,1925,4330.0,3.0,4.0,22066
227,VA,GREAT FALLS,15355930,2010-04-19,SFR,1977,1694.0,4.0,2.0,22066
228,VA,GREAT FALLS,15355931,2007-07-06,SFR,1976,3006.0,4.0,5.0,22066
229,VA,GREAT FALLS,15534684,2013-06-14,SFR,1999,5088.0,5.0,6.0,22066
230,VA,GREAT FALLS,15561979,2008-05-30,SFR,1952,2533.0,3.0,2.0,22066
231,VA,GREAT FALLS,15566003,2009-04-28,SFR,2011,2911.0,2.0,5.0,22066
232,VA,GREAT FALLS,15591266,2007-11-30,SFR,1978,2795.0,6.0,4.0,22066
233,VA,GREAT FALLS,15591267,2007-09-27,SFR,1978,2945.0,5.0,4.0,22066
234,VA,GREAT FALLS,15591268,2008-08-22,SFR,1979,3109.0,4.0,4.0,22066
235,VA,GREAT FALLS,15591269,2007-08-31,SFR,1999,6377.0,5.0,6.0,22066
236,VA,GREAT FALLS,15661267,2012-06-25,SFR,1973,3608.0,3.0,3.0,22066
237,VA,GREAT FALLS,15747438,2014-10-01,SFR,1995,4378.0,4.0,6.0,22066
238,VA,GREAT FALLS,15747456,2021-10-26,SFR,1983,4230.0,4.0,4.0,22066
239,VA,GREAT FALLS,15846133,2007-12-14,SFR,1982,3246.0,5.0,4.0,22066
240,VA,GREAT FALLS,15846134,2007-12-12,SFR,1977,1961.0,5.0,4.0,22066
241,VA,GREAT FALLS,15846135,2007-10-15,SFR,1974,2221.0,4.0,3.0,22066
242,VA,GREAT FALLS,16048980,2007-12-19,SFR,1987,3741.0,4.0,6.0,22066
243,VA,GREAT FALLS,16048981,2007-09-11,SFR,2007,5833.0,5.0,7.0,22066
244,VA,GREAT FALLS,16048986,2012-05-16,SFR,1979,2610.0,4.0,3.0,22066
245,VA,GREAT FALLS,16094920,2010-10-22,SFR,1975,2664.0,4.0,4.0,22066
246,VA,GREAT FALLS,16293861,2008-04-17,SFR,1986,2435.0,4.0,4.0,22066
247,VA,GREAT FALLS,16499685,2010-05-27,SFR,1900,2987.0,5.0,4.0,22066
248,VA,GREAT FALLS,16499686,2020-08-25,SFR,1998,5618.0,5.0,7.0,22066
249,VA,GREAT FALLS,16499687,2013-03-28,SFR,1973,2400.0,4.0,3.0,22066
250,VA,GREAT FALLS,16499688,2017-04-24,SFR,2020,6046.0,5.0,6.0,22066
251,VA,GREAT FALLS,16499690,2004-07-15,SFR,2007,5466.0,5.0,6.0,22066
252,VA,GREAT FALLS,16499692,2011-09-30,SFR,2014,4993.0,6.0,5.0,22066
253,VA,GREAT FALLS,16499693,2022-07-22,SFR,1970,2835.0,4.0,4.0,22066
254,VA,GREAT FALLS,16499694,2008-09-10,SFR,1998,5286.0,5.0,5.0,22066
255,VA,GREAT FALLS,17040892,2008-08-08,SFR,1979,2951.0,5.0,4.0,22066
256,VA,GREAT FALLS,17040927,2008-07-17,SFR,1900,2285.0,3.0,3.0,22066
257,VA,GREAT FALLS,18061945,2021-09-22,SFR,1987,3756.0,4.0,5.0,22066
258,VA,GREAT FALLS,18062204,2021-10-29,SFR,2000,4406.0,4.0,6.0,22066
259,VA,GREAT FALLS,18575566,2019-11-29,SFR,2007,6558.0,5.0,7.0,22066
260,VA,GREAT FALLS,18836037,2018-07-12,SFR,1979,2280.0,4.0,4.0,22066
261,VA,GREAT FALLS,18836038,2008-02-28,SFR,2007,3280.0,3.0,5.0,22066
262,VA,GREAT FALLS,18836039,2008-01-10,SFR,1988,5354.0,4.0,6.0,22066
263,VA,GREAT FALLS,18836040,2007-12-28,SFR,1998,5800.0,5.0,5.0,22066
264,VA,GREAT FALLS,18875887,2011-05-12,SFR,1977,3678.0,4.0,6.0,22066
265,VA,GREAT FALLS,18875888,2018-05-31,SFR,1985,2808.0,4.0,3.0,22066
266,VA,GREAT FALLS,18875895,2021-04-30,SFR,1977,2694.0,5.0,4.0,22066
267,VA,GREAT FALLS,18875896,2007-07-02,SFR,1974,3504.0,5.0,5.0,22066
268,VA,GREAT FALLS,19045570,2008-02-01,SFR,1996,5642.0,6.0,6.0,22066
269,VA,GREAT FALLS,19108746,2018-08-27,SFR,1995,4942.0,5.0,6.0,22066
270,VA,GREAT FALLS,19313077,2022-06-15,SFR,1977,2352.0,4.0,4.0,22066
271,VA,GREAT FALLS,19362437,2009-02-25,SFR,1992,4987.0,4.0,5.0,22066
272,VA,GREAT FALLS,19832761,2017-12-15,SFR,1980,2448.0,4.0,4.0,22066
273,VA,GREAT FALLS,20345107,2020-06-11,SFR,1970,2773.0,4.0,5.0,22066
274,VA,GREAT FALLS,20555453,2022-03-07,SFR,1999,3530.0,5.0,5.0,22066
275,VA,GREAT FALLS,20555455,2022-03-30,SFR,1998,3410.0,4.0,5.0,22066
276,VA,GREAT FALLS,20758365,2009-05-28,SFR,1982,2401.0,4.0,3.0,22066
277,VA,GREAT FALLS,21705236,2008-05-28,SFR,1981,2255.0,5.0,4.0,22066
278,VA,GREAT FALLS,21705237,2008-05-23,SFR,1979,3432.0,5.0,4.0,22066
279,VA,GREAT FALLS,21705238,2008-03-31,SFR,1979,1666.0,4.0,3.0,22066
280,VA,GREAT FALLS,21865400,2008-05-21,SFR,1980,3626.0,4.0,4.0,22066
